LandisData	"Ecoregions"		

>> 	Map Code		
>>Active	Name	Description
>>--------------------------------------------------------			
yes	980	CLIM0980	2
yes	981	CLIM0981	3
yes	982	CLIM0982	1
yes	983	CLIM0983	2
yes	984	CLIM0984	3
yes	985	CLIM0985	1
yes	986	CLIM0986	2
yes	987	CLIM0987	3
yes	988	CLIM0988	1
yes	989	CLIM0989	2
yes	990	CLIM0990	3
yes	991	CLIM0991	1
yes	992	CLIM0992	2
yes	993	CLIM0993	3
yes	994	CLIM0994	1
yes	995	CLIM0995	2
yes	996	CLIM0996	3
yes	997	CLIM0997	1
yes	998	CLIM0998	2
yes	999	CLIM0999	3
yes	1000	CLIM1000	1
yes	1001	CLIM1001	2
yes	1002	CLIM1002	3
yes	1003	CLIM1003	1
yes	1004	CLIM1004	2
yes	1005	CLIM1005	3
yes	1006	CLIM1006	1
yes	1007	CLIM1007	2
yes	1008	CLIM1008	3
yes	1009	CLIM1009	1
yes	1010	CLIM1010	2
yes	1011	CLIM1011	3
yes	1012	CLIM1012	1
yes	1013	CLIM1013	2
yes	1014	CLIM1014	3
yes	1015	CLIM1015	1
yes	1016	CLIM1016	2
yes	1017	CLIM1017	3
yes	1018	CLIM1018	1
yes	1019	CLIM1019	2
yes	1020	CLIM1020	3
yes	1021	CLIM1021	1
yes	1022	CLIM1022	2
yes	1023	CLIM1023	3
yes	1024	CLIM1024	1
yes	1025	CLIM1025	2
yes	1026	CLIM1026	3
yes	1027	CLIM1027	1
yes	1028	CLIM1028	2
yes	1029	CLIM1029	3
yes	1030	CLIM1030	1
yes	1031	CLIM1031	2
yes	1032	CLIM1032	3
yes	1033	CLIM1033	1
yes	1034	CLIM1034	2
yes	1035	CLIM1035	3
yes	1036	CLIM1036	1
yes	1037	CLIM1037	2
yes	1038	CLIM1038	3
yes	1039	CLIM1039	1
yes	1040	CLIM1040	2
yes	1041	CLIM1041	3
yes	1042	CLIM1042	1
yes	1043	CLIM1043	2
yes	1044	CLIM1044	3
yes	1045	CLIM1045	1
yes	1046	CLIM1046	2
yes	1047	CLIM1047	3
yes	1048	CLIM1048	1
yes	1049	CLIM1049	2
yes	1050	CLIM1050	3
yes	1051	CLIM1051	1
yes	1052	CLIM1052	2
yes	1053	CLIM1053	3
yes	1054	CLIM1054	1
yes	1055	CLIM1055	2
yes	1056	CLIM1056	3
yes	1057	CLIM1057	1
yes	1058	CLIM1058	2
yes	1059	CLIM1059	3
yes	1060	CLIM1060	1
yes	1061	CLIM1061	2
yes	1062	CLIM1062	3
yes	1063	CLIM1063	1
yes	1064	CLIM1064	2
yes	1065	CLIM1065	3
yes	1066	CLIM1066	1
yes	1067	CLIM1067	2
yes	1068	CLIM1068	3
yes	1069	CLIM1069	1
yes	1070	CLIM1070	2
yes	1071	CLIM1071	3
yes	1072	CLIM1072	1
yes	1073	CLIM1073	2
yes	1074	CLIM1074	3
yes	1075	CLIM1075	1
yes	1076	CLIM1076	2
yes	1077	CLIM1077	3
yes	1078	CLIM1078	1
yes	1079	CLIM1079	2
yes	1080	CLIM1080	3
yes	1081	CLIM1081	1
yes	1082	CLIM1082	2
yes	1083	CLIM1083	3
yes	1084	CLIM1084	1
yes	1085	CLIM1085	2
yes	1086	CLIM1086	3
yes	1087	CLIM1087	1
yes	1088	CLIM1088	2
yes	1089	CLIM1089	3
yes	1090	CLIM1090	1
yes	1091	CLIM1091	2
yes	1092	CLIM1092	3
yes	1093	CLIM1093	1
yes	1094	CLIM1094	2
yes	1095	CLIM1095	3
yes	1096	CLIM1096	1
yes	1097	CLIM1097	2
yes	1098	CLIM1098	3
yes	1099	CLIM1099	1
yes	1100	CLIM1100	2
yes	1101	CLIM1101	3
yes	1102	CLIM1102	1
yes	1103	CLIM1103	2
yes	1104	CLIM1104	3
yes	1105	CLIM1105	1
yes	1106	CLIM1106	2
yes	1107	CLIM1107	3
yes	1108	CLIM1108	1
yes	1109	CLIM1109	2
yes	1110	CLIM1110	3
yes	1111	CLIM1111	1
yes	1112	CLIM1112	2
yes	1113	CLIM1113	3
yes	1114	CLIM1114	1
yes	1115	CLIM1115	2
yes	1116	CLIM1116	3
yes	1117	CLIM1117	1
yes	1118	CLIM1118	2
yes	1119	CLIM1119	3
yes	1120	CLIM1120	1
yes	1121	CLIM1121	2
yes	1122	CLIM1122	3
yes	1123	CLIM1123	1
yes	1124	CLIM1124	2
yes	1125	CLIM1125	3
yes	1126	CLIM1126	1
yes	1127	CLIM1127	2
yes	1128	CLIM1128	3
yes	1129	CLIM1129	1
yes	1130	CLIM1130	2
yes	1131	CLIM1131	3
yes	1132	CLIM1132	1
yes	1133	CLIM1133	2
yes	1134	CLIM1134	3
yes	1135	CLIM1135	1
yes	1136	CLIM1136	2
yes	1137	CLIM1137	3
yes	1138	CLIM1138	1
yes	1139	CLIM1139	2
yes	1140	CLIM1140	3
yes	1141	CLIM1141	1
yes	1142	CLIM1142	2
yes	1143	CLIM1143	3
yes	1144	CLIM1144	1
yes	1145	CLIM1145	2
yes	1146	CLIM1146	3
yes	1147	CLIM1147	1
yes	1148	CLIM1148	2
yes	1149	CLIM1149	3
yes	1150	CLIM1150	1
yes	1151	CLIM1151	2
yes	1152	CLIM1152	3
yes	1153	CLIM1153	1
yes	1154	CLIM1154	2
yes	1155	CLIM1155	3
yes	1156	CLIM1156	1
yes	1157	CLIM1157	2
yes	1158	CLIM1158	3
yes	1159	CLIM1159	1
yes	1160	CLIM1160	2
yes	1161	CLIM1161	3
yes	1162	CLIM1162	1
yes	1163	CLIM1163	2
yes	1164	CLIM1164	3
yes	1165	CLIM1165	1
yes	1166	CLIM1166	2
yes	1167	CLIM1167	3
yes	1168	CLIM1168	1
yes	1169	CLIM1169	2
yes	1170	CLIM1170	3
yes	1171	CLIM1171	1
yes	1172	CLIM1172	2
yes	1173	CLIM1173	3
yes	1174	CLIM1174	1
yes	1175	CLIM1175	2
yes	1176	CLIM1176	3
yes	1177	CLIM1177	1
yes	1178	CLIM1178	2
yes	1179	CLIM1179	3
yes	1180	CLIM1180	1
yes	1181	CLIM1181	2
yes	1182	CLIM1182	3
yes	1183	CLIM1183	1
yes	1184	CLIM1184	2
yes	1185	CLIM1185	3
yes	1186	CLIM1186	1
yes	1187	CLIM1187	2
yes	1188	CLIM1188	3
yes	1189	CLIM1189	1
yes	1190	CLIM1190	2
yes	1191	CLIM1191	3
yes	1192	CLIM1192	1
yes	1193	CLIM1193	2
yes	1194	CLIM1194	3
yes	1195	CLIM1195	1
yes	1196	CLIM1196	2
yes	1197	CLIM1197	3
yes	1198	CLIM1198	1
yes	1199	CLIM1199	2
yes	1200	CLIM1200	3
yes	1201	CLIM1201	1
yes	1202	CLIM1202	2
yes	1203	CLIM1203	3
yes	1204	CLIM1204	1
yes	1205	CLIM1205	2
yes	1206	CLIM1206	3
yes	1207	CLIM1207	1
yes	1208	CLIM1208	2
yes	1209	CLIM1209	3
yes	1210	CLIM1210	1
yes	1211	CLIM1211	2
yes	1212	CLIM1212	3
yes	1213	CLIM1213	1
yes	1214	CLIM1214	2
yes	1215	CLIM1215	3
yes	1216	CLIM1216	1
yes	1217	CLIM1217	2
yes	1218	CLIM1218	3
yes	1219	CLIM1219	1
yes	1220	CLIM1220	2
yes	1221	CLIM1221	3
yes	1222	CLIM1222	1
yes	1223	CLIM1223	2
yes	1224	CLIM1224	3
yes	1225	CLIM1225	1
yes	1226	CLIM1226	2
yes	1227	CLIM1227	3
yes	1228	CLIM1228	1
yes	1229	CLIM1229	2
yes	1230	CLIM1230	3
yes	1231	CLIM1231	1
yes	1232	CLIM1232	2
yes	1233	CLIM1233	3
yes	1234	CLIM1234	1
yes	1235	CLIM1235	2
yes	1236	CLIM1236	3
yes	1237	CLIM1237	1
yes	1238	CLIM1238	2
yes	1239	CLIM1239	3
yes	1240	CLIM1240	1
yes	1241	CLIM1241	2
yes	1242	CLIM1242	3
yes	1243	CLIM1243	1
yes	1244	CLIM1244	2
yes	1245	CLIM1245	3
yes	1246	CLIM1246	1
yes	1247	CLIM1247	2
yes	1248	CLIM1248	3
yes	1249	CLIM1249	1
yes	1250	CLIM1250	2
yes	1251	CLIM1251	3
yes	1252	CLIM1252	1
yes	1253	CLIM1253	2
yes	1254	CLIM1254	3
yes	1255	CLIM1255	1
yes	1256	CLIM1256	2
yes	1257	CLIM1257	3
yes	1258	CLIM1258	1
yes	1259	CLIM1259	2
yes	1260	CLIM1260	3
yes	1261	CLIM1261	1
yes	1262	CLIM1262	2
yes	1263	CLIM1263	3
yes	1264	CLIM1264	1
yes	1265	CLIM1265	2
yes	1266	CLIM1266	3
yes	1267	CLIM1267	1
yes	1268	CLIM1268	2
yes	1269	CLIM1269	3
yes	1270	CLIM1270	1
yes	1271	CLIM1271	2
yes	1272	CLIM1272	3
yes	1273	CLIM1273	1
yes	1274	CLIM1274	2
yes	1275	CLIM1275	3
yes	1276	CLIM1276	1
yes	1277	CLIM1277	2
yes	1278	CLIM1278	3
yes	1279	CLIM1279	1
yes	1280	CLIM1280	2
yes	1281	CLIM1281	3
yes	1282	CLIM1282	1
yes	1283	CLIM1283	2
yes	1284	CLIM1284	3
yes	1285	CLIM1285	1
yes	1286	CLIM1286	2
yes	1287	CLIM1287	3
yes	1288	CLIM1288	1
yes	1289	CLIM1289	2
yes	1290	CLIM1290	3
yes	1291	CLIM1291	1
yes	1292	CLIM1292	2
yes	1293	CLIM1293	3
yes	1294	CLIM1294	1
yes	1295	CLIM1295	2
yes	1296	CLIM1296	3
yes	1297	CLIM1297	1
yes	1298	CLIM1298	2
yes	1299	CLIM1299	3
yes	1300	CLIM1300	1
yes	1301	CLIM1301	2
yes	1302	CLIM1302	3
yes	1303	CLIM1303	1
yes	1304	CLIM1304	2
yes	1305	CLIM1305	3
yes	1306	CLIM1306	1
yes	1307	CLIM1307	2
yes	1308	CLIM1308	3
yes	1309	CLIM1309	1
yes	1310	CLIM1310	2
yes	1311	CLIM1311	3
yes	1312	CLIM1312	1
yes	1313	CLIM1313	2
yes	1314	CLIM1314	3
yes	1315	CLIM1315	1
yes	1316	CLIM1316	2
yes	1317	CLIM1317	3
yes	1318	CLIM1318	1
yes	1319	CLIM1319	2
yes	1320	CLIM1320	3
yes	1321	CLIM1321	1
yes	1322	CLIM1322	2
yes	1323	CLIM1323	3
yes	1324	CLIM1324	1
yes	1325	CLIM1325	2
yes	1326	CLIM1326	3
yes	1327	CLIM1327	1
yes	1328	CLIM1328	2
yes	1329	CLIM1329	3
yes	1330	CLIM1330	1
yes	1331	CLIM1331	2
yes	1332	CLIM1332	3
yes	1333	CLIM1333	1
yes	1334	CLIM1334	2
yes	1335	CLIM1335	3
yes	1336	CLIM1336	1
yes	1337	CLIM1337	2
yes	1338	CLIM1338	3
yes	1339	CLIM1339	1
yes	1340	CLIM1340	2
yes	1341	CLIM1341	3
yes	1342	CLIM1342	1
yes	1343	CLIM1343	2
yes	1344	CLIM1344	3
yes	1345	CLIM1345	1
yes	1346	CLIM1346	2
yes	1347	CLIM1347	3
yes	1348	CLIM1348	1
yes	1349	CLIM1349	2
yes	1350	CLIM1350	3
yes	1351	CLIM1351	1
yes	1352	CLIM1352	2
yes	1353	CLIM1353	3
yes	1354	CLIM1354	1
yes	1355	CLIM1355	2
yes	1356	CLIM1356	3
yes	1357	CLIM1357	1
yes	1358	CLIM1358	2
yes	1359	CLIM1359	3
yes	1360	CLIM1360	1
yes	1361	CLIM1361	2
yes	1362	CLIM1362	3
yes	1363	CLIM1363	1
yes	1364	CLIM1364	2
yes	1365	CLIM1365	3
yes	1366	CLIM1366	1
yes	1367	CLIM1367	2
yes	1368	CLIM1368	3
yes	1369	CLIM1369	1
yes	1370	CLIM1370	2
yes	1371	CLIM1371	3
yes	1372	CLIM1372	1
yes	1373	CLIM1373	2
yes	1374	CLIM1374	3
yes	1375	CLIM1375	1
yes	1376	CLIM1376	2
yes	1377	CLIM1377	3
yes	1378	CLIM1378	1
yes	1379	CLIM1379	2
yes	1380	CLIM1380	3
yes	1381	CLIM1381	1
yes	1382	CLIM1382	2
yes	1383	CLIM1383	3
yes	1384	CLIM1384	1
yes	1385	CLIM1385	2
yes	1386	CLIM1386	3
yes	1387	CLIM1387	1
yes	1388	CLIM1388	2
yes	1389	CLIM1389	3
yes	1390	CLIM1390	1
yes	1391	CLIM1391	2
yes	1392	CLIM1392	3
yes	1393	CLIM1393	1
yes	1394	CLIM1394	2
yes	1395	CLIM1395	3
yes	1396	CLIM1396	1
yes	1397	CLIM1397	2
yes	1398	CLIM1398	3
yes	1399	CLIM1399	1
yes	1400	CLIM1400	2
yes	1401	CLIM1401	3
yes	1402	CLIM1402	1
yes	1403	CLIM1403	2
yes	1404	CLIM1404	3
yes	1405	CLIM1405	1
yes	1406	CLIM1406	2
yes	1407	CLIM1407	3
yes	1408	CLIM1408	1
yes	1409	CLIM1409	2
yes	1410	CLIM1410	3
yes	1411	CLIM1411	1
yes	1412	CLIM1412	2
yes	1413	CLIM1413	3
yes	1414	CLIM1414	1
yes	1415	CLIM1415	2
yes	1416	CLIM1416	3
yes	1417	CLIM1417	1
yes	1418	CLIM1418	2
yes	1419	CLIM1419	3
yes	1420	CLIM1420	1
yes	1421	CLIM1421	2
yes	1422	CLIM1422	3
yes	1423	CLIM1423	1
yes	1424	CLIM1424	2
yes	1425	CLIM1425	3
yes	1426	CLIM1426	1
yes	1427	CLIM1427	2
yes	1428	CLIM1428	3
yes	1429	CLIM1429	1
yes	1430	CLIM1430	2
yes	1431	CLIM1431	3
yes	1432	CLIM1432	1
yes	1433	CLIM1433	2
yes	1434	CLIM1434	3
yes	1435	CLIM1435	1
yes	1436	CLIM1436	2
yes	1437	CLIM1437	3
yes	1438	CLIM1438	1
yes	1439	CLIM1439	2
yes	1440	CLIM1440	3
yes	1441	CLIM1441	1
yes	1442	CLIM1442	2
yes	1443	CLIM1443	3
yes	1444	CLIM1444	1
yes	1445	CLIM1445	2
yes	1446	CLIM1446	3
yes	1447	CLIM1447	1
yes	1448	CLIM1448	2
yes	1449	CLIM1449	3
yes	1450	CLIM1450	1
yes	1451	CLIM1451	2
yes	1452	CLIM1452	3
yes	1453	CLIM1453	1
yes	1454	CLIM1454	2
yes	1455	CLIM1455	3
yes	1456	CLIM1456	1
yes	1457	CLIM1457	2
yes	1458	CLIM1458	3
yes	1459	CLIM1459	1
yes	1460	CLIM1460	2
yes	1461	CLIM1461	3
yes	1462	CLIM1462	1
yes	1463	CLIM1463	2
yes	1464	CLIM1464	3
yes	1465	CLIM1465	1
yes	1466	CLIM1466	2
yes	1467	CLIM1467	3
yes	1468	CLIM1468	1
yes	1469	CLIM1469	2
yes	1470	CLIM1470	3
yes	1471	CLIM1471	1
yes	1472	CLIM1472	2
yes	1473	CLIM1473	3
yes	1474	CLIM1474	1
yes	1475	CLIM1475	2
yes	1476	CLIM1476	3
yes	1477	CLIM1477	1
yes	1478	CLIM1478	2
yes	1479	CLIM1479	3
yes	1480	CLIM1480	1
yes	1481	CLIM1481	2
yes	1482	CLIM1482	3
yes	1483	CLIM1483	1
yes	1484	CLIM1484	2
yes	1485	CLIM1485	3
yes	1486	CLIM1486	1
yes	1487	CLIM1487	2
yes	1488	CLIM1488	3
yes	1489	CLIM1489	1
yes	1490	CLIM1490	2
yes	1491	CLIM1491	3
yes	1492	CLIM1492	1
yes	1493	CLIM1493	2
yes	1494	CLIM1494	3
yes	1495	CLIM1495	1
yes	1496	CLIM1496	2
yes	1497	CLIM1497	3
yes	1498	CLIM1498	1
yes	1499	CLIM1499	2
yes	1500	CLIM1500	3
yes	1501	CLIM1501	1
yes	1502	CLIM1502	2
yes	1503	CLIM1503	3
yes	1504	CLIM1504	1
yes	1505	CLIM1505	2
yes	1506	CLIM1506	3
yes	1507	CLIM1507	1
yes	1508	CLIM1508	2
yes	1509	CLIM1509	3
yes	1510	CLIM1510	1
yes	1511	CLIM1511	2
yes	1512	CLIM1512	3
yes	1513	CLIM1513	1
yes	1514	CLIM1514	2
yes	1515	CLIM1515	3
yes	1516	CLIM1516	1
yes	1517	CLIM1517	2
yes	1518	CLIM1518	3
yes	1519	CLIM1519	1
yes	1520	CLIM1520	2
yes	1521	CLIM1521	3
yes	1522	CLIM1522	1
yes	1523	CLIM1523	2
yes	1524	CLIM1524	3
yes	1525	CLIM1525	1
yes	1526	CLIM1526	2
yes	1527	CLIM1527	3
yes	1528	CLIM1528	1
yes	1529	CLIM1529	2
yes	1530	CLIM1530	3
yes	1531	CLIM1531	1
yes	1532	CLIM1532	2
yes	1533	CLIM1533	3
yes	1534	CLIM1534	1
yes	1535	CLIM1535	2
yes	1536	CLIM1536	3
yes	1537	CLIM1537	1
yes	1538	CLIM1538	2
yes	1539	CLIM1539	3
yes	1540	CLIM1540	1
yes	1541	CLIM1541	2
yes	1542	CLIM1542	3
yes	1543	CLIM1543	1
yes	1544	CLIM1544	2
yes	1545	CLIM1545	3
yes	1546	CLIM1546	1
yes	1547	CLIM1547	2
yes	1548	CLIM1548	3
yes	1549	CLIM1549	1
yes	1550	CLIM1550	2
yes	1551	CLIM1551	3
yes	1552	CLIM1552	1
yes	1553	CLIM1553	2
yes	1554	CLIM1554	3
yes	1555	CLIM1555	1
yes	1556	CLIM1556	2
yes	1557	CLIM1557	3
yes	1558	CLIM1558	1
yes	1559	CLIM1559	2
yes	1560	CLIM1560	3
yes	1561	CLIM1561	1
yes	1562	CLIM1562	2
yes	1563	CLIM1563	3
yes	1564	CLIM1564	1
yes	1565	CLIM1565	2
yes	1566	CLIM1566	3
yes	1567	CLIM1567	1
yes	1568	CLIM1568	2
yes	1569	CLIM1569	3
yes	1570	CLIM1570	1
yes	1571	CLIM1571	2
yes	1572	CLIM1572	3
yes	1573	CLIM1573	1
yes	1574	CLIM1574	2
yes	1575	CLIM1575	3
yes	1576	CLIM1576	1
yes	1577	CLIM1577	2
yes	1578	CLIM1578	3
yes	1579	CLIM1579	1
yes	1580	CLIM1580	2
yes	1581	CLIM1581	3
yes	1582	CLIM1582	1
yes	1583	CLIM1583	2
yes	1584	CLIM1584	3
yes	1585	CLIM1585	1
yes	1586	CLIM1586	2
yes	1587	CLIM1587	3
yes	1588	CLIM1588	1
