LandisData	"Ecoregions"		

>> 	Map Code		
>>Active	Name	Description
>>--------------------------------------------------------			
yes	224	CLIM0224	2
yes	225	CLIM0225	3
yes	226	CLIM0226	1
yes	227	CLIM0227	2
yes	228	CLIM0228	3
yes	229	CLIM0229	1
yes	230	CLIM0230	2
yes	231	CLIM0231	3
yes	232	CLIM0232	1
yes	233	CLIM0233	2
yes	234	CLIM0234	3
yes	235	CLIM0235	1
yes	236	CLIM0236	2
yes	237	CLIM0237	3
yes	238	CLIM0238	1
yes	239	CLIM0239	2
yes	240	CLIM0240	3
yes	241	CLIM0241	1
yes	242	CLIM0242	2
yes	243	CLIM0243	3
yes	244	CLIM0244	1
yes	245	CLIM0245	2
yes	246	CLIM0246	3
yes	247	CLIM0247	1
yes	248	CLIM0248	2
yes	249	CLIM0249	3
yes	250	CLIM0250	1
yes	251	CLIM0251	2
yes	252	CLIM0252	3
yes	253	CLIM0253	1
yes	254	CLIM0254	2
yes	255	CLIM0255	3
yes	256	CLIM0256	1
yes	257	CLIM0257	2
yes	258	CLIM0258	3
yes	259	CLIM0259	1
yes	260	CLIM0260	2
yes	261	CLIM0261	3
yes	262	CLIM0262	1
yes	263	CLIM0263	2
yes	264	CLIM0264	3
yes	265	CLIM0265	1
yes	266	CLIM0266	2
yes	267	CLIM0267	3
yes	268	CLIM0268	1
yes	269	CLIM0269	2
yes	270	CLIM0270	3
yes	271	CLIM0271	1
yes	272	CLIM0272	2
yes	273	CLIM0273	3
yes	274	CLIM0274	1
yes	275	CLIM0275	2
yes	276	CLIM0276	3
yes	277	CLIM0277	1
yes	278	CLIM0278	2
yes	279	CLIM0279	3
yes	280	CLIM0280	1
yes	281	CLIM0281	2
yes	282	CLIM0282	3
yes	283	CLIM0283	1
yes	284	CLIM0284	2
yes	285	CLIM0285	3
yes	286	CLIM0286	1
yes	287	CLIM0287	2
yes	288	CLIM0288	3
yes	289	CLIM0289	1
yes	290	CLIM0290	2
yes	291	CLIM0291	3
yes	292	CLIM0292	1
yes	293	CLIM0293	2
yes	294	CLIM0294	3
yes	295	CLIM0295	1
yes	296	CLIM0296	2
yes	297	CLIM0297	3
yes	298	CLIM0298	1
yes	299	CLIM0299	2
yes	300	CLIM0300	3
yes	301	CLIM0301	1
yes	302	CLIM0302	2
yes	303	CLIM0303	3
yes	304	CLIM0304	1
yes	305	CLIM0305	2
yes	306	CLIM0306	3
yes	307	CLIM0307	1
yes	308	CLIM0308	2
yes	309	CLIM0309	3
yes	310	CLIM0310	1
yes	311	CLIM0311	2
yes	312	CLIM0312	3
yes	313	CLIM0313	1
yes	314	CLIM0314	2
yes	315	CLIM0315	3
yes	316	CLIM0316	1
yes	317	CLIM0317	2
yes	318	CLIM0318	3
yes	319	CLIM0319	1
yes	320	CLIM0320	2
yes	321	CLIM0321	3
yes	322	CLIM0322	1
yes	323	CLIM0323	2
yes	324	CLIM0324	3
yes	325	CLIM0325	1
yes	326	CLIM0326	2
yes	327	CLIM0327	3
yes	328	CLIM0328	1
yes	329	CLIM0329	2
yes	330	CLIM0330	3
yes	331	CLIM0331	1
yes	332	CLIM0332	2
yes	333	CLIM0333	3
yes	334	CLIM0334	1
yes	335	CLIM0335	2
yes	336	CLIM0336	3
yes	337	CLIM0337	1
yes	338	CLIM0338	2
yes	339	CLIM0339	3
yes	340	CLIM0340	1
yes	341	CLIM0341	2
yes	342	CLIM0342	3
yes	343	CLIM0343	1
yes	344	CLIM0344	2
yes	345	CLIM0345	3
yes	346	CLIM0346	1
yes	347	CLIM0347	2
yes	348	CLIM0348	3
yes	349	CLIM0349	1
yes	350	CLIM0350	2
yes	351	CLIM0351	3
yes	352	CLIM0352	1
yes	353	CLIM0353	2
yes	354	CLIM0354	3
yes	355	CLIM0355	1
yes	356	CLIM0356	2
yes	357	CLIM0357	3
yes	358	CLIM0358	1
yes	359	CLIM0359	2
yes	360	CLIM0360	3
yes	361	CLIM0361	1
yes	362	CLIM0362	2
yes	363	CLIM0363	3
yes	364	CLIM0364	1
yes	365	CLIM0365	2
yes	366	CLIM0366	3
yes	367	CLIM0367	1
yes	368	CLIM0368	2
yes	369	CLIM0369	3
yes	370	CLIM0370	1
yes	371	CLIM0371	2
yes	372	CLIM0372	3
yes	373	CLIM0373	1
yes	374	CLIM0374	2
yes	375	CLIM0375	3
yes	376	CLIM0376	1
yes	377	CLIM0377	2
yes	378	CLIM0378	3
yes	379	CLIM0379	1
yes	380	CLIM0380	2
yes	381	CLIM0381	3
yes	382	CLIM0382	1
yes	383	CLIM0383	2
yes	384	CLIM0384	3
yes	385	CLIM0385	1
yes	386	CLIM0386	2
yes	387	CLIM0387	3
yes	388	CLIM0388	1
